id,title,风格与效果,光影与机位,主体与姿态,主色与氛围,背景与空间,道具与互动,动作与细节,穿搭与风格,特殊效果,图片URL,标签
4fb570f3-5564-48f6-a94d-76a0f1fd2949,户外休闲风人像摄影,户外时尚人像摄影，自然光下的写实风格，偏暖色调，色彩饱和度适中，整体氛围温馨，皮肤修饰自然，保留纹理，背景轻微虚化,自然光，柔和的漫射光，光线从画面左上方照射，在人物面部和衣物上形成柔和过渡，中等对比度，轻微仰拍，接近平视，中焦镜头，背景有适度虚化，中等景深，人物清晰，背景环境可辨识但略虚化，人物位于画面中心偏左，遵循三分法构图,女性人物，1，人物身体略微前倾，双手握住自行车把手，面部朝向画面右上方，呈骑行中的动态姿态，开朗的笑容，眼睛微眯，露出牙齿，表情愉悦，目光投向画面右上方，双手分别握住自行车左右把手,砖红色（背景墙）、米白色（夹克）、深酒红色（内搭及裤子）、绿色（植物），以暖色调为主，砖红与深酒红构成主色，米白与绿色作为对比色，轻松、愉悦、温暖的户外休闲氛围,户外场景，疑似公园或庭院的一角，一面砖红色的墙壁，墙上有一扇深色木窗；墙脚和画面右侧有茂密的绿色藤蔓植物；地面为灰色石板路，人物位于前景，自行车在人物下方，背景墙壁和植物位于中景和远景，环境整洁，植物生长茂盛，石板路有自然纹理,一辆自行车，自行车为浅色车架（米白或浅灰），配有棕色皮质车座和把手套，银色车把，可见部分前轮和车铃，人物正跨坐在自行车上，双手握把，身体前倾，模拟骑行状态,人物在户外骑自行车，人物呈动态骑行姿态，但动作被定格；头发因微风或运动略有飘动，画面右侧中部有白色文字“马思纯”和其下方的“演员”,内穿深酒红色圆领T恤，外搭一件米白色短款夹克，夹克领口和袖口有厚实的白色羊羔毛装饰，与内搭同色的深酒红色长裤，裤腿宽松，侧面有难以辨认的金色或浅色小logo，颈部佩戴一条银色项链，吊坠为水滴形状；耳朵佩戴银色圆环耳环，深色长发编成两条麻花辫，垂于身前，休闲、温暖、略带复古感的秋冬户外穿搭,背景有自然的光学虚化效果，色调经过调整，强化了暖色氛围，无明显人工添加的特殊视觉效果,https://i.ibb.co/gLpRQ00B/image-10.jpg,"模特类, 真实场景, 明亮高调, 暖色氛围, 柔和漫射光"
be6c9081-c81a-4db7-a212-bac9a56fea3d,玩具总动员联名童装广告,商业广告摄影，结合了卡通IP（皮克斯玩具总动员）的童趣元素与时尚童装展示。，画面色彩鲜艳、饱和度高，以红色为主色调，营造出活泼、欢乐的视觉氛围。,明亮、均匀的影棚布光，主光来自前方，辅以柔和的填充光，几乎无阴影，确保主体和服饰细节清晰。，正面光为主。，平视角度，略微仰拍，以完整展示车辆侧面和三位儿童的全身造型。，位于主体正前方，距离适中，以捕捉人物与车辆的全景。，相对较深，前景（人物、车辆）和背景（红色墙面）均较为清晰。,3，三位儿童（两男一女），作为画面的绝对核心主体。，三位儿童并排坐在一辆红色厢式货车的侧面车身和轮胎上，从左至右排列。，左侧男孩：左腿弯曲踩在车门下方踏板，右腿自然下垂，身体微向右转，右手向上高举，左手自然下垂，头戴牛仔帽，面带微笑。中间男孩：双腿分开踩在车门下方踏板，身体正对前方，双臂向上高举，头戴牛仔帽，表情兴奋，嘴巴张开。右侧女孩：左腿弯曲踩在车门下方踏板，右腿自然下垂，身体微向左转，右手自然下垂，左手扶着一个蓝白相间的提包，头戴红色针织帽，面带微笑。,红色（车身、背景墙、部分服饰）。，白色、米色、蓝色、黑色（服饰）、银色（车轮轮毂）。，以高饱和度的红色为基调，搭配白色、蓝色等对比色，形成鲜明、活泼的视觉和谐感。，欢乐、充满活力、童趣、时尚的商业氛围。,纯红色、带有细微颗粒质感的墙面，与车身颜色一致，形成统一背景。，背景墙上部中央印有白色的阿迪达斯三叶草标志和“PIXAR”字样。画面底部中央印有白色的“阿迪达斯 皮克斯 玩具总动员 联名系列”字样。左下角印有白色的“ADIDAS.COM”网址。，三位儿童位于画面中央偏上位置，坐在一辆红色厢式货车的侧面。货车占据了画面中下部的大部分空间，背景墙在货车后方。,红色厢式货车（作为主要场景道具和座椅）、多个牛仔帽（一位男孩头上戴着，另一个悬浮在左侧男孩头部上方）、一个蓝白相间的提包（由右侧女孩手扶）。，货车：一辆红色的老式厢式货车，车身侧面有“ADIDAS ORIGINALS”的圆形和矩形贴纸，以及一些卡通图案。车轮为银色轮毂。牛仔帽：左侧男孩上方悬浮一顶棕色牛仔帽，男孩自己戴着一顶格子花纹的牛仔帽，中间男孩戴着一顶棕色牛仔帽。提包：右侧女孩手扶一个蓝白条纹、带有棕色提手和棕色牛仔帽装饰的提包。，三位儿童直接与货车（作为座椅）互动，坐在车身上。右侧女孩与提包互动，用手扶着它。,三位儿童坐在红色货车上，摆出充满活力和欢乐的姿势，进行童装展示。，左侧男孩：穿着深棕色连帽外套，内搭白色印花T恤，深蓝色牛仔裤，白色长袜和带有红色装饰的白色运动鞋。中间男孩：穿着红色连帽卫衣，内搭白色T恤，黑色长裤，白色长袜和粉色运动鞋。右侧女孩：穿着米白色外套，内搭白色上衣，浅色短裤，白色长袜（袜口有深色条纹）和带有红色装饰的白色运动鞋。三人服装上均有阿迪达斯标志或皮克斯《玩具总动员》相关元素（如中间男孩卫衣上的胡迪图案）。,三位儿童均穿着时尚的阿迪达斯童装，风格休闲、运动，融合了《玩具总动员》的西部牛仔主题元素（如牛仔帽）。，左侧男孩：深棕色拉链连帽衫，内搭白色圆领T恤，胸前有彩色图案，下身为深蓝色水洗牛仔裤，脚穿白色运动鞋，鞋侧有红色三叶草标志。中间男孩：红色圆领连帽卫衣，胸前有《玩具总动员》角色胡迪的图案，内搭白色T恤，下身为黑色休闲长裤，脚穿粉色运动鞋，鞋侧有阿迪达斯标志。右侧女孩：米白色无领拉链外套，内搭白色圆领上衣，下身为浅米色短裤，脚穿白色运动鞋，鞋侧有红色三条纹。，结合了街头运动风与卡通IP联名的童趣风格。,无显著后期特效。画面中左侧男孩头上悬浮的牛仔帽是一个非物理的创意摆拍效果，作为视觉趣味点。，画面经过专业的商业摄影后期处理，色彩饱满，人物皮肤和服饰细节清晰。,https://i.ibb.co/1JTdzJc7/image-1.jpg,"模特类, 纯色背景, 明亮高调, 饱和, 暖色氛围"
2d9366f2-2c2b-4177-905a-64105309b96d,复古运动鞋产品静物摄影,这是一张商业产品静物摄影图片，展示了两双不同配色的阿迪达斯复古运动鞋。，采用俯视视角构图，四只鞋子（两双）在画面中心区域呈略微错开的垂直排列，鞋头朝向画面左侧，鞋跟朝向右侧。构图简洁、平衡，主体突出。，营造了一种干净、经典、具有怀旧感的氛围。，视觉焦点集中在四只运动鞋的细节和色彩对比上，尤其是不同配色的三条纹和后跟设计。，色彩处理自然，鞋身的白色、条纹的绿色与深蓝色、以及鞋底的生胶色（棕褐色）在米色背景上显得清晰、和谐。,使用了柔和的漫射光照明，光线主要从画面左上方照射，在鞋子的右下方和背景上形成了柔和、自然的阴影。，自然光模拟/影棚柔光，左上方，光线均匀，明暗对比适中，有效突出了鞋子的立体感和皮革材质细节。，正俯视角度（90度），推测为标准或中长焦镜头，畸变较小。，景深较深，从前景到背景的四只鞋子均保持清晰。，曝光准确，高光和阴影细节保留完整。,静物（运动鞋），四只阿迪达斯运动鞋，分为两双，每双两只。上方两只为白色鞋面配深绿色三条纹和后跟，下方两只为白色鞋面配深蓝色三条纹和后跟。所有鞋子均为低帮复古款式。，4，四只鞋子在浅米色纹理背景上呈松散的堆叠状排列。从上至下：第一只为右脚鞋，侧放展示外侧；第二只为左脚鞋，平放展示内侧和鞋口；第三只为右脚鞋，侧放展示外侧；第四只为左脚鞋，侧放展示外侧。鞋头均指向画面左侧。，水平放置，鞋头朝左。，鞋子之间有轻微的重叠，但各自独立清晰。,白色（鞋面）、深绿色（上双条纹与后跟）、深蓝色（下双条纹与后跟）、棕褐色/生胶色（鞋底）、米色（背景）。，以白色为基调，搭配经典的深绿、深蓝撞色，并由暖调的棕褐色鞋底和米色背景平衡，整体色彩复古且协调。，氛围干净、简洁、具有复古时尚感和产品展示的专业感。，整体色调偏暖，主要源于背景的米色和鞋底的棕褐色。,背景为一个均匀的、带有细微斑驳纹理的浅米色平面，可能是一块布料或背景纸。纹理呈现出类似水渍或做旧的自然痕迹。，浅米色/米白色。，背景具有细腻的、不规则的哑光纹理。，主体（鞋子）与背景有明显的空间分离，背景完全作为衬托，没有其他干扰元素。，背景提供了充足的负空间，突出了主体。,无其他道具。仅有作为背景的平面。，无互动。鞋子静止地放置在背景上。,无动态动作，为静态产品展示。，1. 上方一双（绿色款）：白色皮革鞋面，深绿色绒面三条纹和后跟片，棕色橡胶外底。鞋舌上有金色阿迪达斯三叶草标志和“adidas JEANS”字样。鞋口内衬为灰色，印有重复的三叶草图案。鞋带为白色。2. 下方一双（蓝色款）：白色皮革鞋面，深蓝色麂皮三条纹和后跟片，棕色橡胶外底。鞋侧有烫金的“adidas JEANS”字样。鞋带为白色。3. 所有鞋底均为经典的棕色生胶底，带有防滑纹路。，不适用。，不适用。，不适用。,不适用。图像内容为鞋类产品。，不适用。，展示了阿迪达斯经典的复古运动鞋款式，具有70-80年代的街头休闲风格。,无后期特效或合成痕迹。图像呈现出高质量的商业摄影效果。，可能进行了轻微的色彩校正和锐化处理，以增强产品细节和色彩准确性。，无可见瑕疵。,https://i.ibb.co/0yXf3jhJ/image-1.png,"静物类, 纯色背景, 明亮高调, 暖色氛围, 柔和漫射光"
c1b7c7ad-9a4d-43d0-9f0e-a97e4cf25401,户外阳光产品静物,户外产品摄影，色彩饱和，对比鲜明，突出产品细节与材质,自然日光，光源位于画面左上方，光线明亮且带有方向性，在鞋子右侧和下方形成清晰的阴影，低角度俯拍，略微偏向鞋子正面，浅景深，主体鞋子清晰，背景草地虚化,一双阿迪达斯三叶草系列的运动鞋，并排摆放，鞋头朝向画面左前方，鞋跟朝向右后方，呈轻微的八字形排列,米白色、浅卡其色、棕褐色、深红色、深蓝色，阳光充足，户外休闲氛围，色彩对比强烈,前景为铺在地面的深蓝色带有红色几何图案的布料，背景为模糊的绿色草地，紧凑构图，主体占据画面中心大部分区域,带有图案的深蓝色布料，鞋子直接放置在布料之上，布料有自然褶皱,静物摆放，鞋子由米白色、浅卡其色和棕褐色拼接而成。鞋面材质包括绒面革和皮革。鞋侧有三条标志性的棕色条纹，条纹内有红白相间的编织图案。鞋舌上方有魔术贴，鞋舌标有品牌标志。鞋后跟处有金色的阿迪达斯三叶草标志和文字。鞋底为棕褐色橡胶，侧面刻有品牌标志。鞋带为浅灰色，穿在金色的鞋眼扣中。,复古休闲运动风,无,https://i.ibb.co/vxdR2HfB/image-2.jpg,"静物类, 真实场景, 明亮高调, 饱和, 强对比光"
93ca2358-7cbd-438c-acd4-534d19270690,戏剧性动态运动人像,运动品牌宣传人像摄影，高对比度戏剧性光影，强化主体与背景的分离，营造动态瞬间的张力,强对比光，主光源从画面左前方偏上位置照射，为人物提供主要照明并塑造轮廓，低角度仰拍，广角镜头，浅景深，主体清晰，背景严重虚化,一名女性运动员，1，位于画面中心偏右，处于动态踢球动作的瞬间，左腿向前上方高高抬起，右腿弯曲支撑（未完全显示），身体向右侧倾斜，双臂向后摆动以保持平衡，面部表情专注、严肃，目光看向斜下方（球的预期轨迹方向），身体和面部朝向画面左侧,亮黄色、浅绿色、深绿色、白色、黑色，主体服装为亮黄色与浅绿色斜条纹相间，短裤和球袜边缘为深绿色，球袜主体为白色，球鞋为白色、粉色和蓝色组合，背景为深蓝色渐变至地平线的暖黄色，充满力量感、动态感和专业运动气息，氛围偏向戏剧化和史诗感,渐变色天空与地貌剪影，上方为深蓝色，向下逐渐过渡至地平线附近的暖黄色，呈现出黄昏或黎明时分的天空。地平线以下为完全黑暗的地貌剪影，轮廓不规则，类似山丘或岩石。画面最底部有少量被光线照亮的深绿色草丛，人物主体位于前景，与深色剪影背景和渐变天空形成强烈的空间层次感,足球鞋（钉鞋），左脚穿着一只白色为主，带有粉色和蓝色装饰的足球钉鞋，鞋底鞋钉清晰可见。鞋带为白色，松散地飘起，人物正在用左脚完成踢球动作，球鞋是动作的焦点之一,女性运动员正在进行高抬腿踢球的动态动作，动作捕捉在踢球的最高点或即将发力的瞬间，身体姿态富有动感。左脚球鞋的鞋钉、飘起的鞋带、手臂向后摆动的姿势、以及腿部肌肉的线条都强化了动作的力度和速度感，运动员为年轻女性，深色头发向后梳成紧实的马尾辫。皮肤为健康的小麦色。手臂和腿部肌肉线条明显，上身穿着短袖运动衫，主体为亮黄色与浅绿色相间的斜条纹，衣领和袖口为深绿色，左胸有队徽，右胸有黑色品牌标志。下身穿着深绿色运动短裤，左大腿前侧有白色队徽。白色足球袜上端有深绿色条纹和品牌标志,全套专业足球运动装备，包括短袖运动衫、运动短裤、长筒足球袜和足球钉鞋，以亮黄色、浅绿色、深绿色和白色为主色调，球鞋点缀有粉色和蓝色，服装上可见黑色品牌标志（类似钩形），球袜和球鞋上也有相同标志，运动服合身，便于活动,true，图像具有明显的颗粒感/噪点，可能是后期添加的纹理效果，以增强复古或粗犷的质感。人物边缘有轻微的光晕效果，可能是镜头眩光或后期处理，色彩饱和度较高，对比度强，尤其是亮黄色服装与深色背景的对比。色调偏向冷色（背景）与暖色（人物肤色及地平线）的对比,https://i.ibb.co/TxQ6x50d/image-2.png,"模特类, 真实场景, 暗调氛围, 强对比光, 低饱和, 暖色氛围"
f4eddeaa-20af-4894-8ffc-1db341fddff5,国风刺绣运动鞋产品特写,产品静物摄影，街头潮流与传统文化元素融合，青绿色、米白色、橙色、紫色、深蓝色，活力、精致、文化感,自然日光，斜侧光，从画面左上方照射，硬光，形成清晰阴影，低角度平视，略偏俯视，相机位于产品正前方略低位置，浅景深，主体清晰，背景虚化，中长焦,一双运动鞋，2，右侧鞋款鞋头朝右，完整展示外侧面；左侧鞋款鞋头朝左，展示后跟及内侧面，两鞋呈八字形摆放，放置于粗糙的石质台阶上，右侧鞋款横向放置，左侧鞋款斜向放置,青绿色，米白色，橙色，深蓝色，紫色，中高饱和度，暖色调，户外、明亮、具有文化底蕴的街头感,模糊的建筑背景，红棕色木质结构，带有金色装饰条，疑似传统中式建筑或门廊，浅米色粗糙石质台阶表面，产品位于前景台阶上，背景为失焦的建筑立面,无额外道具，鞋带已系好，鞋款相互独立摆放，无直接交互,静态陈列，[object Object],,,https://i.ibb.co/Z6VTwz4r/image-3.jpg,"静物类, 真实场景, 明亮高调, 暖色氛围, 强对比光"
7a41b9ba-3970-4e90-ba4a-2b0b9adb8809,冷灰运动街头人像,运动街头风格，冷灰色调为主，点缀白色与黑色，服装面料呈现网眼、针织、金属光泽等多样质感，背景为金属波纹板纹理，低角度仰拍增强人物气势，光影对比鲜明,强烈直射日光，从画面左上方照射，硬光，产生清晰、锐利的阴影，低角度仰拍，位于人物右前方较低位置，中等景深，人物与背景均较清晰,1，一位女性模特，身体微微后仰靠在波纹金属墙上，左腿伸直，右腿膝盖弯曲并向前抬起，身体重心偏向左侧，面部微仰，表情冷峻，嘴唇微闭，目光透过墨镜向上方看，右手自然下垂置于右大腿前侧，左手插在短裤口袋中,灰色、银色、白色，黑色、浅蓝色（夹克袖子内侧），整体色彩饱和度较低，现代、冷峻、充满力量感的街头运动氛围,金属波纹板墙面，垂直条状波纹，表面有铆钉固定痕迹，银灰色，浅米色混凝土地面，右下角有深色碎石区域，人物紧靠背景墙，地面与墙面形成直角空间,无明显独立道具，人物背部与左手与背景墙及短裤口袋产生接触,模特摆出静态姿势进行时尚展示，1. 模特佩戴大号黑色方框墨镜。2. 耳部佩戴金色环形耳饰。3. 运动内衣为黑白灰渐变网眼材质，带有小标。4. 短裤为深灰色华夫格纹理。5. 袜子为黑灰双色中筒袜。6. 运动鞋为白灰黑多色拼接的老爹鞋款式。7. 左手无名指佩戴戒指。,内层为运动内衣，外层为敞开的拉链夹克，短款运动内衣（黑/白/灰渐变网眼），外搭一件灰色与浅蓝色拼接的长袖拉链夹克（未拉上拉链），深灰色高腰宽松运动短裤，华夫格纹理，白、灰、黑拼色厚底运动鞋，黑色大框墨镜，金色环形耳饰，黑灰双色中筒袜，左手无名指戒指，运动休闲、街头、机能风,无明显后期特效，强烈日光造成的清晰、锐利的投影,https://i.ibb.co/6cjqNzdX/image-3.png,"模特类, 真实场景, 明亮高调, 冷色氛围, 强对比光"
bef2caca-bf19-4637-95d0-b755916eb1c9,国潮运动鞋古建静物特写,现代运动鞋与传统中式建筑元素结合的商业静物摄影，一双装饰有传统刺绣图案的运动鞋，放置在中式建筑屋顶的琉璃瓦上，通过将现代潮流单品置于古典建筑环境中，营造出传统与现代的视觉碰撞,自然日光照明，光线明亮、均匀，带有轻微的方向性，从左侧照射主体，低角度仰拍，镜头与主体平面大致平行，略低于水平线，位于主体正前方偏左，距离较近，形成特写构图，浅景深，主体清晰，背景（远处的屋顶和天空）被显著虚化，可能使用了中长焦镜头，画面压缩感不明显，透视自然,一双运动鞋，一双（两只鞋），鞋子并排斜放，左侧鞋子的鞋头略微朝向观众，右侧鞋子的鞋头指向右上方。两只鞋均非水平放置，而是顺着屋脊的弧度自然摆放，主体位于画面中心偏下区域，略微偏离绝对中心，占据了画面的主要视觉权重,深青色（或墨绿色），白色（鞋底、鞋身部分区域）、橙色（鞋带、刺绣图案、鞋舌内衬），深紫色与白色条纹（鞋身侧面）、红色与黄色（鞋跟刺绣图案），以深青色和白色为基底，橙色作为高饱和度的强调色，与背景中琉璃瓦的暖黄色和天空的蓝色形成丰富的色彩层次，明亮、清新、富有活力，同时因传统建筑元素的加入而带有一丝庄重和文化底蕴，晴朗的户外氛围，阳光充足,背景为虚化的中式传统建筑屋顶局部。上方是清晰的蓝天，下方是模糊的、带有琉璃瓦屋脊的屋顶结构。屋脊呈现出弯曲的弧线，从画面左下角延伸至右上角，户外环境，具体为中国传统古建筑（如宫殿、庙宇）的屋顶区域，主体（鞋子）直接放置在前景清晰的屋脊瓦片上，背景的屋顶和天空位于主体后方，形成明确的前景-背景空间关系，通过浅景深和清晰的前景瓦片与模糊的背景建筑，创造了强烈的前后空间纵深感,中式古建筑屋顶的琉璃瓦（作为放置鞋子的平台），鞋子与瓦片表面有直接的物理接触。鞋底与瓦片表面贴合，瓦片表面可见因光照产生的反光和细微的纹理，琉璃瓦不仅是物理支撑，更是核心的环境道具，其色彩、材质和文化属性是图像叙事的重要组成部分,无动态动作。图像为静态静物展示，静止放置，[object Object],不适用（主体为物品，无人物），产品本身为运动休闲风格，设计融合了传统刺绣元素，属于‘国潮’或‘文化联名’类产品,无后期添加的特殊视觉效果。图像效果完全由摄影技术和自然环境构成，主要依靠浅景深虚化背景来突出主体，可能进行了基础的色彩校正和对比度调整，使颜色更加鲜艳，但未观察到明显的滤镜、合成或夸张的后期处理痕迹,https://i.ibb.co/849JgN8m/image-4.jpg,"静物类, 真实场景, 明亮高调, 暖色氛围, 强对比光, 柔和漫射光"
c7f4a278-58d7-4a52-abcd-30235407b0a6,户外运动风青春人像,运动人像摄影，结合了街头篮球场的真实场景与明亮、活泼的视觉氛围。，画面整体色调偏中性至冷色调，但被人物服装和篮球的亮色点缀，形成冷暖对比。，中等对比度，细节清晰，阴影部分保留了一定的细节。,自然光为主，光线明亮均匀，可能在阴天或建筑物的阴影下拍摄，避免了强烈的直射光，形成柔和的漫射光效果。，光线主要来自前侧方，为人物面部和身体提供了均匀的照明，阴影柔和。，相机位于人物正前方，略低于人物视线水平，采用平视角度拍摄。，推测使用中焦或标准焦距镜头，人物全身清晰，背景有一定的透视但不过分压缩或夸张。，景深适中，人物主体清晰锐利，背景中的建筑和围栏也保持了一定的清晰度，但略有虚化，突出了主体。,1，年轻女性，青少年或年轻成年。，一位面带笑容、正在运球的年轻女性。，人物呈动态运球姿态。双腿分开，膝盖微屈，重心降低。左手向下拍球，右手自然张开以保持平衡。身体略微前倾，头部转向相机方向，面带灿烂笑容。整个姿态充满活力和动感。，表情为开心、自信的笑容，露出牙齿，眼神明亮，直视镜头。，目光直接看向镜头（相机）。,灰色（地面、背景建筑）、白色（上衣、袜子）、橙色（篮球、鞋子）、绿色（背景楼梯）、黑色（头发、短裤条纹）。，大面积的灰色地面和背景构成了中性的底色。白色上衣和袜子在画面中形成明亮的色块。橙色的篮球和运动鞋是画面中最鲜艳的色彩焦点，非常醒目。背景中的绿色楼梯和护栏提供了色彩的层次感。，氛围轻松、活泼、充满运动能量和青春气息。,城市或校园内的户外篮球场。，人物身后是一个带有网格围栏的篮球场区域。围栏后方是一座建筑物的外部，有深色的窗户。画面左侧有一个显著的绿色金属螺旋楼梯，连接不同楼层。地面是灰色的水泥或沥青地，上面有清晰的黄色篮球场标线。，人物位于画面中央，是绝对的视觉中心。背景中的建筑、围栏和楼梯构成了场景的纵深感，黄色标线在地面向远处延伸，引导视线。,一个标准的橙色篮球，表面有黑色的耐克（Nike）Swoosh标志和黑色筋线。，人物左手正向下拍打篮球，篮球处于动态中，位置在人物身体的右前方（画面左侧）地面附近，显示出运球的动作瞬间。,核心动作是运球。人物身体姿态和手部位置清晰地展示了篮球运动中的运球准备或进行中状态。，人物穿着白色短袖运动T恤，胸口有小的深色耐克标志。白色运动短裤，裤腿侧边和底部有绿色和黑色的条纹装饰。白色中筒运动袜，袜口有深色耐克标志。橙色高帮运动鞋。头发为深棕色长发，自然披散。,一套完整的运动休闲装束。上身为白色圆领短袖T恤，下身为白色运动短裤，搭配白色中筒袜和橙色高帮运动鞋。，整体风格是典型的运动品牌（耐克）休闲运动风，简洁、舒适、具有功能性。短裤的彩色条纹和亮橙色的鞋子增添了时尚感和活力。,图像清晰，无明显的滤镜、光晕、颗粒或其他特殊数字特效。风格偏向于纪实或商业人像摄影，追求真实感。,https://i.ibb.co/p6V2LSH4/image-4.png,"模特类, 真实场景, 明亮高调, 暖色氛围, 柔和漫射光"
d2fd9e63-02e0-4b16-96ff-e9a1ae3d2cd7,工业风街头休闲人像,休闲街头风格，工业感与时尚感的结合，人物主体,混合光源，顶部有主光源，环境光较暗，顶部一个长条形荧光灯，光线偏冷白，环境中有来自其他区域的杂光，无明确补光，正面平视，略带仰角，全身人像，中等，背景有一定虚化但细节仍可辨认,单人男性模特，站立，双手插在裤袋中，面向镜头，平静，中性，略带一丝酷感，直视镜头，放松，略微前倾,黑色（上衣、裤子）、白色（内搭长袖、鞋子）、深棕色（木材）、橙色（地板），少量彩色物品（左侧背景的蓝、橙色物品），暖色调为主，因环境光和地板颜色，随性，现代，略带粗犷,室内，疑似仓库、工作室或具有工业风的零售空间，后方墙面堆叠着大量深色粗壮的木梁或原木；右侧有红色金属立柱和工具；左侧有更多堆叠的木梁；地面为亮橙色水泥地，背景层次丰富，有明显的空间纵深感，环境略显杂乱，有生活或工作痕迹,背景中的木梁、金属立柱、左侧的衣物，模特与环境互动为站立于空间中，未直接操作物品,静态站立，模特发型为棕色中分微卷；佩戴细链项链；黑色短袖T恤内搭白色长袖薄纱或网纱材质打底衫；黑色宽松运动裤左腿有阿迪达斯标志；白色运动鞋鞋底较厚,黑色宽松短袖T恤，内搭白色长袖打底衫，黑色宽松运动长裤，白色厚底运动鞋，细项链，叠穿，宽松，街头运动风,无,https://i.ibb.co/fYDskhYH/image-5.jpg,"模特类, 真实场景, 暖色氛围, 强对比光, 低饱和"
